docID,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 18,Topic 19,Topic 20,text
1,0.0018828020393575,0.0012349927646947,0.002606321467533,0.0130008531083795,0.0629575200454811,0.0609842706558681,0.0011342657830824,0.0012535129046938,0.0012531700777838,0.0959000358832758,0.0006656042342978782,0.0613160226512194,0.0912658439209759,0.0026730433193322,0.3747417832502268,0.0018902123157436,0.0040659944660497,0.2162914007783584,0.002728982010339,0.0021533683233066,"Do not mandate a Covid vaccine for children as young as 5 years old. With time we the people will choose to vaccinate our families when we see data and evidence that supports the safety, validity, and long term success of the Covid vaccine. It is still too early in the process for we the people to agree with this required vaccine."
2,0.0026774789273229,0.0017562478867905,0.0037063752116661,0.4827666785973177,0.0895300885141433,0.0023097074972594,0.0016130069272832,0.0017825848481608,0.0017820973238179,0.2629981172984006,0.0009465367436491788,0.0027814825209117,0.0031651269589456,0.0038012584486979,0.1108381739089706,0.0026880168694191,0.0057821344325582,0.0121318363226376,0.0038808072611922,0.0030622435008545,Children are least infected and at risk of COVID-19. vaccination is not needed and is actually more risk of harm from the vaccine than the actual COVID-19 virus. The numbers from cdc and VAERS supports this information as well. Do the right thing and do not vaccinate our children
3,0.004042436327291,0.0026515690505876,0.0055958557302972,0.0279132483354552,0.0077238076431138,0.0034871779557471,0.0024353049924994,0.0026913323847851,0.002690596324421,0.3970724596660735,0.0014290736254155,0.0679234630481682,0.0047786834356612,0.0057391096847221,0.3585145996304885,0.0040583464282109,0.008729820444497,0.0820405526339723,0.0058592118472968,0.0046233508112956,I believe this is absolutely dangerous opening up a vaccine to trial on children that are not even high risk of catching or transmitting covid. 
4,0.0082463699495881,0.0054090695728228,0.0114152686153691,0.0569416445015818,0.0157561851536336,0.0071136703648242,0.0049679016024693,0.0054901848057353,0.0054886832790378,0.0300452926510185,0.0029152394363804,0.0085666907185277,0.0097482775959612,0.0117074995892878,0.7313520316750791,0.0082788257676884,0.0178084014565152,0.0373648544768744,0.0119525020541753,0.0094314067334292,I strongly oppose vaccine mandates for children 5-12. 
5,0.0054253317533722,0.0035586563650472,0.0075101674640887,0.0374622183933303,0.0103660801235688,0.0046801225204833,0.0032684095518722,0.2601829331253198,0.0036110346564617,0.0197669618578141,0.0019179519206105,0.0056360725338146,0.00641344498311,0.0077024278152265,0.1390659418792554,0.0054466846130666,0.0117162444189953,0.4522007258368997,0.007863616272758,0.006204973914904,"I am against this government OVERREACH into our lives. This is America, not communist Russia. Stop the madness."
6,0.0082463699495881,0.0054090695728228,0.0114152686153691,0.0569416445015818,0.0157561851536336,0.0071136703648242,0.0049679016024693,0.0054901848057353,0.0054886832790378,0.0300452926510185,0.0029152394363804,0.0085666907185277,0.0097482775959612,0.0117074995892878,0.4713644102303287,0.0082788257676884,0.0178084014565152,0.2973524759216246,0.0119525020541753,0.0094314067334292,No vaccines for children or anyone else should ever be a mandate. Which by the way a mandate is NOT a law.
7,0.004632888761234,0.0030388665298621,0.0064132060528345,0.0319903553284969,0.0088519740885306,0.0039965274036686,0.0027910141846287,0.0030844378361729,0.0030835942642493,0.0168797300511414,0.0016378091334342,0.004812848003844,0.0054766747055744,0.7368949280318984,0.0457217280730418,0.0046511227473191,0.0100049286495513,0.0940236836131105,0.006715028888339,0.0052986536530675,"— I am firmly against the approval of the COVID-19 vaccines for children. Based on available data, the benefits do not outweigh the risks."
8,0.0026774789273229,0.0017562478867905,0.0459135149615576,0.0184881413485113,0.0895300885141433,0.0023097074972594,0.0016130069272832,0.0017825848481608,0.0017820973238179,0.0097552787990517,0.0009465367436491788,0.3826457402699351,0.0031651269589456,0.0038012584486979,0.0264238944091876,0.0026880168694191,0.3434392524316901,0.0543389760725291,0.0038808072611922,0.0030622435008545,"Greetings: I believe that parents should have the final say in whether to vaccinate young children with such a new vaccine that does not have an outcome as to its long-term effects. Originally, it was reported that young children were exempt, so what happened to change that?"
9,0.0059327195016779,0.0038914689417034,0.0082125331685701,0.3215316883563745,0.0113355364244457,0.0051178168284833,0.0035740776729109,0.0039498260039168,0.0039487457544526,0.0216156071985615,0.4697072046713184,0.0061631691764194,0.0070132430335868,0.0084227740877334,0.0585496871971294,0.0059560693230131,0.0128119707532711,0.0268815493589858,0.0085990372083892,0.0067852753390559,This is horrible what you are doing when there is other alternative medicine that works. Stop this madness ASAP
10,0.0059327195016779,0.0038914689417034,0.0082125331685701,0.2280097119370915,0.0113355364244457,0.0051178168284833,0.0035740776729109,0.0039498260039168,0.0039487457544526,0.0216156071985615,0.5632291810906014,0.0061631691764194,0.0070132430335868,0.0084227740877334,0.0585496871971294,0.0059560693230131,0.0128119707532711,0.0268815493589858,0.0085990372083892,0.0067852753390559,Stay away from our kids!! Politicians about to start a fucking war!!! There will be blood!!!
11,0.007297712493059,0.0047868134510975,0.0101020629556118,0.1654305124949792,0.0139436030570478,0.0062953179896416,0.0043963971796389,0.0048585972362322,0.0048572684442661,0.026588900192127,0.0025798720388714,0.0075811837527245,0.0086268415839635,0.1254000765022571,0.1870601296926138,0.0073264346132975,0.0157597336264441,0.3781846259589764,0.0105774933816092,0.0083464233555403,Please Do not vaccinate children! They are vulnerable. Parents should make that decision Thank you
12,0.0030656567339019,0.5819262529301489,0.0042437212147818,0.2144736595064562,0.0058574931044969,0.0026445662261091,0.0018468588110982,0.0020410219433472,0.0020404637382874,0.0111695878672349,0.0010837645489725,0.0031847386485276,0.0036240034146778,0.0043523605140765,0.1269073645173995,0.0030777224546884,0.0066204216132605,0.01389069595938,0.0044434422216516,0.0035062040315023,"MRNA technology has proven to be harmful, even deadly for adult and teen consumption. Please do not consider or carry out plans to innoculate our children with this cocktail of deadly poison. That would be unconscionable. "
13,0.0032213317196031,0.0021129791041384,0.0044592186747959,0.4284859197267068,0.006154938394181,0.0027788581071546,0.0019406428658589,0.0021446656612928,0.052924384674192,0.0117367829521546,0.1534797151352761,0.0033464606502406,0.0545883369792219,0.004573374710905,0.0317911481383223,0.003234010141378,0.0069566086457429,0.0653763753084735,0.0046690815754221,0.1560251668349385,"You people are sick,sick,sick! Stay the hell away from our kids! Cant wait till you all go down for crimes against humanity! Remember God Wins!"
14,0.1166266129300857,0.0023518326670764,0.0049632938293059,0.4204018866948329,0.0633712687390284,0.0030929833905014,0.0021600153442677,0.0023871011087174,0.0023864482534546,0.0695840913591263,0.0012675295162179,0.0037247483711066,0.0042384956209662,0.1746520615032075,0.0353848557087653,0.0035995863287302,0.0077429916051139,0.0727665951851494,0.0051968798710862,0.0041007219732594,"It is unethical and morally wrong to give the experimental drug to the children. Statistically they are in no harm from cv19. Stop the push, stop the coercion. "
15,0.0025690468096059,0.0016851236379094,0.0035562750151142,0.058237253213376,0.0049086297907995,0.0022161693286938,0.0015476836281032,0.0017103940091877,0.0017099262285284,0.4953343112978835,0.0009082040484546368,0.0026688384821267,0.0030369461484453,0.0036473156858339,0.3898343588931006,0.0025791579877914,0.0055479704676997,0.0116405231358797,0.0037236429431135,0.0029382292483521,"Statistically, children have a greater chance of having a severe Covid vaccine reaction than having a severe case of Covid.Please hear me. One child who is profoundly injured or dies from a Covid vaccine is one child too many."
16,0.007297712493059,0.0047868134510975,0.0101020629556118,0.0503911118461618,0.0139436030570478,0.0062953179896416,0.0043963971796389,0.0048585972362322,0.0048572684442661,0.026588900192127,0.0025798720388714,0.0075811837527245,0.0086268415839635,0.0103606758534398,0.7622571329367005,0.0073264346132975,0.0157597336264441,0.0330664240125245,0.0105774933816092,0.0083464233555403,Covid 19 vaccine should NOT be mandated for children 5-12 or anyone for that matter 
17,0.004632888761234,0.0030388665298621,0.0064132060528345,0.4701808816381432,0.0088519740885306,0.0039965274036686,0.0027910141846287,0.0030844378361729,0.0030835942642493,0.0899114844360824,0.0016378091334342,0.004812848003844,0.0054766747055744,0.0065773841824878,0.337848745612806,0.0046511227473191,0.0100049286495513,0.0209919292281694,0.006715028888339,0.0052986536530675,"I think this is absolutely ridiculous as vaccinations have proven not to slow down, stop or prevent Covid. Why such the huge push? "
18,0.0111435567681824,0.0073094312062498,0.0154257806303937,0.2526112544075509,0.0212917859352501,0.0096129072580009,0.0067132682458208,0.0074190445522735,0.0074170154960834,0.0406010676600802,0.0039394468536755,0.0115764154313915,0.0131731277455021,0.0158206807461042,0.1099751577427527,0.0111874152481766,0.1997293781320921,0.0504922019680576,0.0161517596199006,0.1884093043524607,"Insane, what’s happened to humanity, this will not go well. This is not ok. "
19,0.1952144451019071,0.0026515690505876,0.0055958557302972,0.2190852571100713,0.2626198193426018,0.0034871779557471,0.0024353049924994,0.0026913323847851,0.002690596324421,0.0784524450417134,0.0014290736254155,0.0041994601232962,0.0047786834356612,0.0057391096847221,0.0398945850061283,0.0040583464282109,0.008729820444497,0.0183165497091003,0.0058592118472968,0.1320713566610396,No child should risk injury with a treatment for a disease that likely wouldn't injure them. Anybody putting their name to such a practice should be held accountable for all damage that occurs as a result.
20,0.0017773012835124,0.0011657912940064,0.0024602790907711,0.0402893183951959,0.1154636719550282,0.0015331758758311,0.0010707084387929,0.0011832736781887,0.0011829500612102,0.4547467826990217,0.0006283078280139513,0.0018463385104684,0.0021010003661312,0.0025232622564795,0.185641813379669,0.0017842963331549,0.0598720686890534,0.0080530711362668,0.0305930203750112,0.0860835683541922,I am strongly opposed to mandating any COVID-19 vaccine to children. The science shows there is statistically no risk of harm to children contracting this virus. The studies show there is a much more significant risk of serious injury including death due to potential side effects of these vaccines. Do not use innocent children as pawns. 
21,0.0027954676198189,0.0018336406123678,0.0038697043645724,0.151504115994656,0.3138108454735338,0.0024114895747462,0.0016840874412678,0.0018611381668635,0.0018606291587437,0.0542522508837393,0.0009882478591477593,0.0029040543486463,0.003304604878887,0.0039687688293117,0.3801250014676942,0.0028064699383092,0.0501040216252168,0.0126664509896948,0.0040518231261181,0.0031971876466639,"I find it unconscionable to even consider approving a vaccine for children to combat an illness, covid-19, which poses almost no threat to children. As you know more children die each year from the flu than have died from covid-19. Please do not approve this vaccine for children."
22,0.004632888761234,0.0030388665298621,0.0064132060528345,0.178053864098379,0.0818837284734717,0.2961235449434328,0.0027910141846287,0.0030844378361729,0.0030835942642493,0.0168797300511414,0.0016378091334342,0.004812848003844,0.0054766747055744,0.0065773841824878,0.337848745612806,0.0046511227473191,0.0100049286495513,0.0209919292281694,0.006715028888339,0.0052986536530675,I am opposed to vaccination of children! This vaccine is under EUA and has not been through clinical trials to prove it is safe! It is experimental!!!
