docID,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 18,Topic 19,Topic 20,Topic 21,Topic 22,Topic 23,Topic 24,Topic 25,Topic 26,Topic 27,Topic 28,Topic 29,Topic 30,text
1,0.1807725608711355,0.0079321305220374,0.001220250159295,0.1777781238236409,0.0009505166606342768,0.0007128385261398788,0.0015503179724746,0.0022645479813797,0.00044458769123734056,0.0019893138239326,0.0013866252549813,0.0045633050365429,0.0010627002227895,0.0966605797456818,0.4090880996326608,0.0013877540084185,0.0021695651935492,0.0014961556694803,0.0020584285051922,0.0015650842259216,0.0018428407742435,0.0308479199677529,0.000727536964409129,0.0012657107232284,0.0018398526729924,0.0007101961256402786,0.0017018826840878,0.0011763758946462,0.0015614287773052,0.0612727698885679,"Do not mandate a Covid vaccine for children as young as 5 years old. With time we the people will choose to vaccinate our families when we see data and evidence that supports the safety, validity, and long term success of the Covid vaccine. It is still too early in the process for we the people to agree with this required vaccine."
2,0.1312763328396777,0.4678804593327115,0.00172682633489,0.0024964066636555,0.0013451153346157,0.0010087672024347,0.0021939189123886,0.003204655259482,0.0006291543808034785,0.0028151600500608,0.0019622705956528,0.0064577211903756,0.0430179958514702,0.0122459987882387,0.163776195084649,0.0019638679412021,0.003070241198449,0.0021172716032639,0.0859412169475531,0.0022148152467391,0.0026078799955342,0.0436541640016433,0.0010295675687298,0.0017911594541289,0.0026036514101966,0.0010050278324905,0.0024084043877315,0.0016647380532026,0.0022096422706174,0.00368137426741,Children are least infected and at risk of COVID-19. vaccination is not needed and is actually more risk of harm from the vaccine than the actual COVID-19 virus. The numbers from cdc and VAERS supports this information as well. Do the right thing and do not vaccinate our children
3,0.010082481081998,0.0168068626687949,0.002585506730111,0.0037377680080298,0.0020139863981434,0.0015103860407458,0.0032848654196948,0.0047981997805262,0.0009420072261926556,0.0042150244692877,0.0029380278310861,0.0096688828873806,0.0022516846707073,0.0183354351530307,0.3695302420027056,0.0029404194715102,0.0045969470822087,0.0653275127342275,0.0043614669607595,0.0033161526499195,0.0039046724870599,0.0032041933280759,0.0015415295819105,0.0026818300889807,0.0038983411984825,0.0636621954427572,0.0036060057850029,0.0024925444750651,0.0033084073634901,0.3784564209821143,I believe this is absolutely dangerous opening up a vaccine to trial on children that are not even high risk of catching or transmitting covid. 
4,0.0200550311391894,0.0334304772241603,0.0051428232357947,0.0074347824888008,0.0040060139563055,0.0030043040827954,0.0065339153869229,0.0095440839638488,0.0018737435856305,0.0083840918020606,0.005844021839569,0.0192323442821842,0.0044788188362979,0.0364709559040154,0.7350314322402742,0.0058487790439504,0.0091437728599866,0.0063056448571289,0.0086753800973406,0.0065961487173217,0.0077667716586287,0.0063734507853706,0.0030662516017407,0.0053344197233906,0.0077541781126019,0.0029931675149498,0.0071726946689196,0.0049579123091536,0.0065807425926527,0.0109638454890128,I strongly oppose vaccine mandates for children 5-12. 
5,0.0134187898838978,0.0223682798832877,0.0034410549618297,0.0049746013036473,0.2508565938443949,0.0020101751502938,0.0043718325385671,0.0063859316126866,0.0012537188946441,0.0056097826763937,0.0039102258479592,0.1783191155238346,0.0029967706594523,0.3553042276513014,0.078181418283331,0.0039134088859504,0.006118084080881,0.0042190970850675,0.0058046832179522,0.0044134727623394,0.0051967347365367,0.0042644659253173,0.0020516241380709,0.0035692518712086,0.00518830841464,0.0020027236902132,0.0047992387543845,0.0033173313508009,0.004403164548484,0.0073358918226307,"I am against this government OVERREACH into our lives. This is America, not communist Russia. Stop the madness."
6,0.0200550311391894,0.0334304772241603,0.0051428232357947,0.0074347824888008,0.0040060139563055,0.0030043040827954,0.0065339153869229,0.0095440839638488,0.0018737435856305,0.0083840918020606,0.005844021839569,0.0192323442821842,0.0044788188362979,0.4073822664269704,0.3641201217173191,0.0058487790439504,0.0091437728599866,0.0063056448571289,0.0086753800973406,0.0065961487173217,0.0077667716586287,0.0063734507853706,0.0030662516017407,0.0053344197233906,0.0077541781126019,0.0029931675149498,0.0071726946689196,0.0049579123091536,0.0065807425926527,0.0109638454890128,No vaccines for children or anyone else should ever be a mandate. Which by the way a mandate is NOT a law.
7,0.0115138194307908,0.0901742685127707,0.002952552787899,0.0042683924292684,0.0022998977668001,0.0017248048374704,0.0037511944717996,0.005479366181453,0.0010757373127382,0.0048134016063164,0.0033551188100082,0.0110415056331257,0.0025713403777065,0.0209383868732372,0.0670825566795392,0.0033578499746653,0.0052495430645493,0.0036201417876537,0.0049806334999435,0.0037869233282554,0.0044589911537404,0.0036590699353437,0.0017603696063492,0.0030625504910411,0.7142663082662575,0.0017184112083425,0.004117924857706,0.0028463933406586,0.00377807849843,0.0062944672761394,"— I am firmly against the approval of the COVID-19 vaccines for children. Based on available data, the benefits do not outweigh the risks."
8,0.4633893322841147,0.0112250850966106,0.00172682633489,0.3346094061080926,0.0013451153346157,0.0010087672024347,0.0021939189123886,0.003204655259482,0.0006291543808034785,0.0028151600500608,0.0019622705956528,0.0064577211903756,0.0015038709209156,0.0537601237187933,0.0392338202929852,0.0019638679412021,0.003070241198449,0.0021172716032639,0.0444270920169985,0.0022148152467391,0.0026078799955342,0.0021400390710887,0.0010295675687298,0.0017911594541289,0.0026036514101966,0.0010050278324905,0.0024084043877315,0.0016647380532026,0.0022096422706174,0.00368137426741,"Greetings: I believe that parents should have the final say in whether to vaccinate young children with such a new vaccine that does not have an outcome as to its long-term effects. Originally, it was reported that young children were exempt, so what happened to change that?"
9,0.014628977808593,0.0243855871401395,0.0037513901857246,0.0054232410453778,0.0029221539902369,0.0021914649472469,0.0047661109342153,0.006961853688557,0.0013667868747218,0.0061157069299124,0.0042628737502645,0.1944010157709068,0.2738252478317176,0.0266034393502108,0.1754183632185014,0.0042663438539429,0.0066698500404804,0.0045996008704046,0.0063281847853682,0.0048115065261264,0.0056654078196101,0.00464906134806,0.0022366520563398,0.0038911486705553,0.1860283616965862,0.0021833414692654,0.0052320632369598,0.0036165084284426,0.004800268654974,0.0079974870765567,This is horrible what you are doing when there is other alternative medicine that works. Stop this madness ASAP
10,0.014628977808593,0.0243855871401395,0.2743096003893192,0.0054232410453778,0.0029221539902369,0.0021914649472469,0.0047661109342153,0.0971479237564219,0.0013667868747218,0.0061157069299124,0.0042628737502645,0.2845870858387717,0.003267037628123,0.0266034393502108,0.0852322931506365,0.0042663438539429,0.0066698500404804,0.0045996008704046,0.0063281847853682,0.0048115065261264,0.0056654078196101,0.00464906134806,0.0022366520563398,0.0038911486705553,0.0056562215608564,0.0021833414692654,0.0052320632369598,0.0036165084284426,0.0949863387228388,0.0079974870765567,Stay away from our kids!! Politicians about to start a fucking war!!! There will be blood!!!
