docID,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,text
1,0.0043575543820429,0.0137096827546663,0.2486882137492645,0.1849620637785515,0.002649005067838,0.0019531881913916,0.0015218453314159,0.318681321333693,0.0036799766684762,0.2197971487426599,"Do not mandate a Covid vaccine for children as young as 5 years old. With time we the people will choose to vaccinate our families when we see data and evidence that supports the safety, validity, and long term success of the Covid vaccine. It is still too early in the process for we the people to agree with this required vaccine."
2,0.0062548081969786,0.7163094860805204,0.0086502709082898,0.178414633875559,0.0038023664559255,0.0028035949614542,0.0021844479308624,0.0655785521891347,0.0052822170907444,0.0107196223105308,Children are least infected and at risk of COVID-19. vaccination is not needed and is actually more risk of harm from the vaccine than the actual COVID-19 virus. The numbers from cdc and VAERS supports this information as well. Do the right thing and do not vaccinate our children
3,0.1432190296187756,0.69830242880519,0.0132737065752249,0.0065322422756307,0.0058346723660486,0.0043020729950156,0.0033520014772413,0.0338187097399929,0.074916041932864,0.016449094214016,I believe this is absolutely dangerous opening up a vaccine to trial on children that are not even high risk of catching or transmitting covid. 
4,0.0206178012545346,0.0648674668211286,0.0285139944772651,0.0140322764493787,0.0125337873546706,0.0092415245828641,0.007200622604408,0.7902454662594288,0.0174118372187468,0.0353352229775741,I strongly oppose vaccine mandates for children 5-12. 
5,0.0130983345427512,0.041209815288965,0.0181147268907366,0.0089146000129334,0.0079626211268805,0.0058710712736544,0.0045745015496203,0.2285063958061378,0.0110616096294416,0.6606863238788787,"I am against this government OVERREACH into our lives. This is America, not communist Russia. Stop the madness."
6,0.0206178012545346,0.3519065055340565,0.0285139944772651,0.0140322764493787,0.0125337873546706,0.0092415245828641,0.007200622604408,0.0726478694771093,0.0174118372187468,0.4658937810469659,No vaccines for children or anyone else should ever be a mandate. Which by the way a mandate is NOT a law.
7,0.0110781858249253,0.0348540488175766,0.0924356196297001,0.7786868743761256,0.0067345505803923,0.0049655792764064,0.0038689787665523,0.0390345501887759,0.0093555838414246,0.0189860286981204,"— I am firmly against the approval of the COVID-19 vaccines for children. Based on available data, the benefits do not outweigh the risks."
8,0.0062548081969786,0.1938364706420891,0.4875838683935184,0.0042569620627486,0.0038023664559255,0.0028035949614542,0.0021844479308624,0.0655785521891347,0.0052822170907444,0.2284167120765438,"Greetings: I believe that parents should have the final say in whether to vaccinate young children with such a new vaccine that does not have an outcome as to its long-term effects. Originally, it was reported that young children were exempt, so what happened to change that?"
9,0.2150606406372209,0.1456682671269472,0.0199320708099821,0.0098089493577361,0.0087614640337307,0.006460081295334,0.4063298889454253,0.151106983782126,0.0121713558110091,0.024700298200488,This is horrible what you are doing when there is other alternative medicine that works. Stop this madness ASAP
10,0.0144124133459865,0.04534415348133,0.0199320708099821,0.0098089493577361,0.8113543731986682,0.006460081295334,0.0050334343629565,0.0507828701365088,0.0121713558110091,0.024700298200488,Stay away from our kids!! Politicians about to start a fucking war!!! There will be blood!!!
11,0.0180301262073232,0.1822329944091082,0.024935293184424,0.0122711297987074,0.0109607113324346,0.0080816500518198,0.0062968952278666,0.0635300650731289,0.1407333708354866,0.5329277638797002,Please Do not vaccinate children! They are vulnerable. Parents should make that decision Thank you
12,0.1073563420416143,0.1227971891630263,0.0099499108955215,0.0048965395025227,0.0043736442279885,0.6041955823570525,0.0025126452683878,0.1255121477150458,0.0060758316058449,0.0123301672229954,"MRNA technology has proven to be harmful, even deadly for adult and teen consumption. Please do not consider or carry out plans to innoculate our children with this cocktail of deadly poison. That would be unconscionable. "
13,0.0075738527603793,0.0238287602337794,0.010474482371566,0.057875914547598,0.7427013569855866,0.0033948307876255,0.0026451150011377,0.0266868547223903,0.1118386038650886,0.0129802287248481,"You people are sick,sick,sick! Stay the hell away from our kids! Cant wait till you all go down for crimes against humanity! Remember God Wins!"
14,0.6567574206790934,0.2623796014116206,0.0117091207113982,0.0057622799545847,0.0051469333496522,0.0037949830910007,0.0029568975100791,0.0298324625759331,0.0071500786732661,0.0145102220433715,"It is unethical and morally wrong to give the experimental drug to the children. Statistically they are in no harm from cv19. Stop the push, stop the coercion. "
15,0.005993839896577,0.8115915176460623,0.0082893571239086,0.0040793495573921,0.0036437209658869,0.0026866210448985,0.0020933065807394,0.1462880898116546,0.0050618280439324,0.010272369328948,"Statistically, children have a greater chance of having a severe Covid vaccine reaction than having a severe case of Covid.Please hear me. One child who is profoundly injured or dies from a Covid vaccine is one child too many."
16,0.0180301262073232,0.1822329944091082,0.024935293184424,0.0122711297987074,0.0109607113324346,0.0080816500518198,0.0062968952278666,0.6910642563444424,0.015226532581224,0.0309004108626494,Covid 19 vaccine should NOT be mandated for children 5-12 or anyone for that matter 
17,0.0110781858249253,0.4204276328546214,0.0153209028222911,0.007539706302036,0.0067345505803923,0.0049655792764064,0.2352131291887791,0.2703787006110028,0.0093555838414246,0.0189860286981204,"I think this is absolutely ridiculous as vaccinations have proven not to slow down, stop or prevent Covid. Why such the huge push? "
